Fecha,humedad2
10-Jun-2025 00:00:04,299
10-Jun-2025 00:01:05,299
10-Jun-2025 00:02:06,299
10-Jun-2025 00:03:07,300
10-Jun-2025 00:04:09,299
10-Jun-2025 00:05:10,298
10-Jun-2025 00:06:11,299
10-Jun-2025 00:07:11,299
10-Jun-2025 00:08:12,300
10-Jun-2025 00:09:14,299
10-Jun-2025 00:10:15,299
10-Jun-2025 00:11:17,301
10-Jun-2025 00:12:17,300
10-Jun-2025 00:13:16,299
10-Jun-2025 00:14:18,299
10-Jun-2025 00:15:18,299
10-Jun-2025 00:17:18,300
10-Jun-2025 00:18:18,298
10-Jun-2025 00:19:18,298
10-Jun-2025 00:20:18,299
10-Jun-2025 00:21:18,299
10-Jun-2025 00:22:18,300
10-Jun-2025 00:23:19,299
10-Jun-2025 00:24:19,299
10-Jun-2025 00:25:19,299
10-Jun-2025 00:26:19,299
10-Jun-2025 00:27:20,299
10-Jun-2025 00:28:21,299
10-Jun-2025 00:29:22,300
